0,1479730,0.155760
8,22102,0.158087
16,16145,0.159786
24,14382,0.161300
32,34517,0.164933
33,70091,0.172311
34,47521,0.177313
35,46756,0.182235
36,46967,0.187179
37,47224,0.192150
38,47077,0.197105
39,47475,0.202103
40,47308,0.207082
41,47514,0.212084
42,48351,0.217173
43,52236,0.222672
44,60885,0.229081
45,79531,0.237452
46,113841,0.249436
47,173543,0.267703
48,264434,0.295538
49,383595,0.335916
50,522458,0.390912
51,660171,0.460403
52,771615,0.541625
53,829825,0.628974
54,818549,0.715137
55,747892,0.793862
56,628333,0.860002
57,484196,0.910970
58,343156,0.947091
59,225326,0.970809
60,135077,0.985028
61,74722,0.992893
62,37964,0.996890
63,17652,0.998748
64,7362,0.999523
65,2962,0.999834
66,1091,0.999949
67,343,0.999985
68,101,0.999996
69,24,0.999999
70,7,0.999999
71,7,1.000000
